,Intercept,C(team_home_id)[T.ATL],C(team_home_id)[T.BAL],C(team_home_id)[T.BUF],C(team_home_id)[T.CAR],C(team_home_id)[T.CHI],C(team_home_id)[T.CIN],C(team_home_id)[T.CLE],C(team_home_id)[T.DAL],C(team_home_id)[T.DEN],C(team_home_id)[T.DET],C(team_home_id)[T.GB],C(team_home_id)[T.HOU],C(team_home_id)[T.IND],C(team_home_id)[T.JAX],C(team_home_id)[T.KC],C(team_home_id)[T.LAC],C(team_home_id)[T.LAR],C(team_home_id)[T.MIA],C(team_home_id)[T.MIN],C(team_home_id)[T.NE],C(team_home_id)[T.NO],C(team_home_id)[T.NYG],C(team_home_id)[T.NYJ],C(team_home_id)[T.OAK],C(team_home_id)[T.PHI],C(team_home_id)[T.PIT],C(team_home_id)[T.SEA],C(team_home_id)[T.SF],C(team_home_id)[T.TB],C(team_home_id)[T.TEN],C(team_home_id)[T.WAS],C(team_away_id)[T.ATL],C(team_away_id)[T.BAL],C(team_away_id)[T.BUF],C(team_away_id)[T.CAR],C(team_away_id)[T.CHI],C(team_away_id)[T.CIN],C(team_away_id)[T.CLE],C(team_away_id)[T.DAL],C(team_away_id)[T.DEN],C(team_away_id)[T.DET],C(team_away_id)[T.GB],C(team_away_id)[T.HOU],C(team_away_id)[T.IND],C(team_away_id)[T.JAX],C(team_away_id)[T.KC],C(team_away_id)[T.LAC],C(team_away_id)[T.LAR],C(team_away_id)[T.MIA],C(team_away_id)[T.MIN],C(team_away_id)[T.NE],C(team_away_id)[T.NO],C(team_away_id)[T.NYG],C(team_away_id)[T.NYJ],C(team_away_id)[T.OAK],C(team_away_id)[T.PHI],C(team_away_id)[T.PIT],C(team_away_id)[T.SEA],C(team_away_id)[T.SF],C(team_away_id)[T.TB],C(team_away_id)[T.TEN],C(team_away_id)[T.WAS],over_under_line,spread_home,schedule_week,ELEVATION,h_travel_distance,a_travel_distance,h_days_last_game,a_days_last_game,home_win
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,-5.0,1.0,209.4,0.0,0.0,250.0,250.0,1.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,-7.0,1.0,375.2,0.0,0.0,250.0,250.0,1.0
2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,-1.5,1.0,47.5,0.0,0.0,250.0,250.0,1.0
3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,1.5,1.0,177.7,0.0,0.0,250.0,250.0,1.0
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,-7.0,1.0,238.0,0.0,0.0,250.0,250.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,-9.0,1.0,13.4,0.0,0.0,250.0,250.0,1.0
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,1.5,1.0,6.1,0.0,0.0,250.0,250.0,1.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-3.5,1.0,264.9,0.0,0.0,250.0,250.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,-6.0,1.0,2.1,0.0,0.0,250.0,250.0,1.0
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,-8.5,1.0,145.4,0.0,0.0,250.0,250.0,1.0
